Afghan,Afghanistan
"Villa Mercedes, San Luis, Argentina",Argentina
Villa carlos paz,Argentina
"Zarate, Buenos Aires",Argentina
"Zarate, Buenos Aires, Argentina",Argentina
Zona Norte,Argentina
arg,Argentina
argentina,Argentina
argentina!,Argentina
"argentina, buenos aires",Argentina
"bariloche, argentina",Argentina
buenos aires,Argentina
"buenos aires, argentina",Argentina
capital federal,Argentina
"capital federal, buenos aires",Argentina
"general roca ,rio negro",Argentina
"la plata , Argentina",Argentina
la rioja,Argentina
valhala,Argentina
ヽ(;´Д`)ノ,Argentina
🇦🇷,Argentina
"🌎, 🇦🇷, 🏠, 🛌.",Argentina
"Armenia, Yerevan",Armenia
"Armenia,Yerevan",Armenia
Yerevan,Armenia
"Yerevan, Armenia",Armenia
Aruba,Aruba
"Aruba,Carribean islands🇦🇼",Aruba
"Noord, Aruba",Aruba
"Paradera, Aruba",Aruba
#STRAYA,Australia
'Straiya,Australia
'Straya,Australia
'straya,Australia
"----, Victoria, Australia",Australia
.au,Australia
"1504th Dimension, Australian District, My dreams.",Australia
33°51′35.9″S 151°12′40″E,Australia
ACT,Australia
"ACT, Australia",Australia
"ADL, AUS",Australia
AU,Australia
AUS,Australia
"AUS,Sydney",Australia
AUSTRALIA,Australia
AUSTRALIA M8,Australia
"AUSTRALIA, Brisbane!",Australia
AUSTRALIAAAA,Australia
AUUUSTRALIA,Australia
Adealide AKA the bottom of the gravity well,Australia
Adelaide,Australia
Adelaide south australia,Australia
"Adelaide, Australia",Australia
"Adelaide, Australia.",Australia
"Adelaide, SA",Australia
"Adelaide, South Aus",Australia
"Adelaide, South Australia",Australia
"Albany Creek, Brisbane",Australia
"Albany, Australia",Australia
"Albany, Western Australia",Australia
Albury NSW Australia,Australia
"Albury, Australia",Australia
AnImE FaNtaSy (Australia ;P ),Australia
"Angaston, South Australia",Australia
"Anglesea, Victoria",Australia
Arkham Asylum,Australia
Arkham City,Australia
Armidale,Australia
"Armidale, New South Wales",Australia
"Ashfield, Sydney, NSW",Australia
"Astral Zero, Victoria, Australia",Australia
At home in Australia,Australia
"At the computer, Australia",Australia
Aus,Australia
"Aus, Melbourne",Australia
Aussie,Australia
Aussie Aussie Aussie,Australia
Aussie Aussie Aussie Oy Oy Oy,Australia
Aussie land,Australia
Aussie!!,Australia
Austalia,Australia
"Austalia,Lithgow",Australia
Austraila,Australia
Austraila/ Melboure,Australia
Australia,Australia
Australia #3775,Australia
Australia (For now),Australia
Australia (you know that place that has kangaroos),Australia
"Australia , Brisbane",Australia
"Australia , Perth",Australia
"Australia , Sydney",Australia
Australia - Melbourne,Australia
Australia - PERTH,Australia
Australia :),Australia
Australia NSW,Australia
Australia New South Wales,Australia
Australia Sydney,Australia
Australia Sydney NSW,Australia
Australia Victoria Melbourne Richmond,Australia
Australia W.A,Australia
Australia WA,Australia
Australia ^^,Australia
"Australia halfway through anime, manga, cat land :",Australia
Australia somewhere,Australia
Australia with my Kangaroo,Australia
Australia | Victoria,Australia
Australia 🇦🇺,Australia
Australia!,Australia
Australia! Melbourne,Australia
"Australia, Adelaide",Australia
"Australia, Adeliade",Australia
"Australia, Brisbane",Australia
"Australia, Canberra",Australia
"Australia, Central Coast",Australia
"Australia, Earth",Australia
"Australia, Emerald",Australia
"Australia, G'Day mate",Australia
"Australia, Geelong",Australia
"Australia, Hell",Australia
"Australia, In a house",Australia
"Australia, Mars.",Australia
"Australia, Melbourn",Australia
"Australia, Melbourne",Australia
"Australia, Melbourne.",Australia
"Australia, N.S.W, Taree",Australia
"Australia, NSW",Australia
"Australia, NSW, Newcastle",Australia
"Australia, NSW, Singleton",Australia
"Australia, NSW, Sydney",Australia
"Australia, New South Whales.",Australia
"Australia, Newcastle",Australia
"Australia, Perth",Australia
"Australia, QLD",Australia
"Australia, QLD, Brisbane",Australia
"Australia, Queensland",Australia
"Australia, Queensland, Gold Coast",Australia
"Australia, Sydney",Australia
"Australia, VIctoria, Melbourne",Australia
"Australia, Vic",Australia
"Australia, Victoria",Australia
"Australia, Victoria, Melbourne, Springvale",Australia
"Australia, Victoria, Mildura",Australia
"Australia, WA, Perth",Australia
"Australia, Wellington",Australia
"Australia, land of all things deadly.",Australia
"Australia, melbourne",Australia
"Australia,Brisbne",Australia
"Australia,Melbourne",Australia
"Australia,NSW",Australia
"Australia,NSW,Sydney",Australia
"Australia,Sydney",Australia
"Australia,Victoria",Australia
Australia-But who needs to know?,Australia
Australia-Qld,Australia
Australia.,Australia
Australia. Why would you want to know anyway?,Australia
Australia/Krypton/Destiny Islands,Australia
Australia/Queensland,Australia
Australia?,Australia
Australiaa,Australia
"Australian, Sydney",Australia
Australia~,Australia
Australiiarh,Australia
"Awesometown, Australia",Australia
"Aυѕтʀαʟια, Pᴇʀᴛʜ",Australia
"Backwater, Australia",Australia
"Ballarat, Victoria, Australia",Australia
"Ballarat,Victoria",Australia
"Bankstown, NSW",Australia
"Bankstown, Sydney",Australia
"Bankstown, Sydney, Australia",Australia
Barden RIdge,Australia
"Barooga, Australia",Australia
"Bathurst, Australia",Australia
"Belmont, NSW, Australia",Australia
"Bendigo, Australia",Australia
"Bendigo, Victoria, Australia",Australia
"Bermagui, New South Wales, Australia",Australia
"Berwick, Victoria",Australia
Black Chaos,Australia
Black Hole,Australia
Blacktown,Australia
"Blacktown, Sydney",Australia
"Blaxland, NSW",Australia
"Bowral, Australia",Australia
"Bray Park, Queensland",Australia
"Brisban, Australia",Australia
Brisbane,Australia
Brisbane Australia,Australia
Brisbane yea,Australia
"Brisbane, Australia",Australia
"Brisbane, Australia    231",Australia
"Brisbane, Australia, Earth",Australia
"Brisbane, Kelvin Grove",Australia
"Brisbane, QLD",Australia
"Brisbane, QLD, Asutralia",Australia
"Brisbane, QLD, Australia",Australia
"Brisbane, Queensland",Australia
"Brisbane, Queensland, Australia",Australia
"Brisbane,Australia",Australia
Brisbane. Australia,Australia
Brisbaner-in-exile,Australia
Broadford victoria,Australia
"Broken Hill, NSW",Australia
"Buderim, Australia",Australia
Bunbury western australia,Australia
Bundaberg,Australia
"Bundaberg , Queensland , Australia",Australia
"Bundaberg, Queensland",Australia
Burbanks,Australia
"Burn City, AU",Australia
"Busselton, Perth",Australia
Byron Bay,Australia
"Byron Bay, Australia",Australia
"Byron Bay, NSW, Australia",Australia
Caboolture,Australia
"Caboolture, QLD",Australia
Cabramatta,Australia
Cairns Australia,Australia
"Cairns, Australia",Australia
"Cairns, Australia.",Australia
"Cairns, Queensland",Australia
"Campbells Bridge,",Australia
"Campbelltown, NSW",Australia
"Campbelltown, Sydney",Australia
Canberra,Australia
Canberra Australia,Australia
"Canberra, ACT",Australia
"Canberra, Australia",Australia
"Canberra, Australia 520",Australia
"Canberra,Australia",Australia
Canley Vale,Australia
"Capricorn Coast, Australia",Australia
"Carlingford, Sydney",Australia
"Carmila, Queensland",Australia
Central Coast,Australia
"Central Coast, Australia",Australia
"Central Coast, NSW",Australia
"Central Coast, NSW, Australia",Australia
Central Time Zone,Australia
Cessnock,Australia
"Cessnock, New South Wales, Australia",Australia
"Chinatown, Sydney",Australia
Coffs Harbour,Australia
"Coffs Harbour, New South wales",Australia
"Collie, Western Australia",Australia
"Colony 9, New Los Angeles, Alrest, Australia",Australia
Commonwealth of Australasia,Australia
Connells Point,Australia
Convict Island,Australia
"Cooktown, Queensland",Australia
Cowra NSW Australia,Australia
"Craigieburn,Victoria",Australia
"Cranbourne, Victoria",Australia
"Cranbrook, Townsville",Australia
"Croydon Park, Sydney",Australia
"Dapto, NSW",Australia
Darwin,Australia
"Darwin, NT, AUS",Australia
Deception Bay Qld aussie,Australia
"Deception Bay, Brisbane",Australia
"Dee Baii,QLD",Australia
"Devon, England. (Once Canberra, Australia.)",Australia
"Doncaster, Victoria",Australia
"Doreen, Victoria, Australia",Australia
"Dubbo, NSW, Australia",Australia
"Dunsborough, West Australia",Australia
"East Maitland, NSW, Australia",Australia
"Egdeworth, New South Wales",Australia
"Fairfield West, NSW",Australia
"Ferny Grove, Brisbane",Australia
"Fletcher, NSW",Australia
Frankston,Australia
"Frankston, Victoria",Australia
"Fremantle, Western Australia",Australia
"Gawler, South Australia",Australia
Geelong,Australia
"Geelong, Australia",Australia
"Geelong, VIC, Australia",Australia
"Geelong, Victoria",Australia
"Giru, Queensland",Australia
Gold Coast,Australia
"Gold Coast, Australia",Australia
"Gold Coast, Australia.",Australia
"Gold Coast, Autralia",Australia
"Gold Coast, QLD",Australia
"Gold Coast, QLD, Australia",Australia
"Gold Coast, Queensland",Australia
"Gold Coast,Australia",Australia
Gold coast,Australia
"Gold coast, Australia",Australia
"Gold coast, Queensland, Australia",Australia
Goldcoast Australia,Australia
"Gosford, Australia",Australia
"Gosford, NSW",Australia
"Gosnells, Western Australia",Australia
"Grafton, New South Wales",Australia
Grahamstown,Australia
Great Barrier Reef,Australia
"Greensborough, Victoria",Australia
"Hervey Bay, Australia",Australia
"Hervey Bay, QLD",Australia
Hobart,Australia
Hobart Australia,Australia
Hobart Tas,Australia
Hobart Tasmania,Australia
"Hobart, Australia",Australia
"Hobart, Tasmania",Australia
"Hobart, Tasmania, Australia",Australia
"Hobert, Tasmania, Southern Australia, Australia.",Australia
"Hole, Vic",Australia
"Home, Australia",Australia
Hornsby NSW,Australia
"Hornsby, Australia",Australia
"Illawara, NSW",Australia
"Inverell, Australia",Australia
"Inverell, NSW",Australia
"Ipswich, Queensland",Australia
"Jamberoo, N,S,W, Australia",Australia
"Junortoun, Australia",Australia
"Karratha, Western Australia",Australia
"Katanning,WA",Australia
"Katherine, NT, Australia",Australia
"Kellyville, NSW",Australia
"Kelvin Grove, Brisbane",Australia
"Kendenup, Western Australia",Australia
"Kensington, Melbourne",Australia
"King Island, Australia",Australia
Kingaroy,Australia
"Kingscliff, Australia",Australia
"Kingsford, Sydney",Australia
"Kununurra, WA, Australia",Australia
Kurri kurri NSW,Australia
"Lancaster,Pa",Australia
"Lane Cove, Sydney, Australia",Australia
"Latrobe, Tasmania",Australia
"Launceston, Tas",Australia
"Launceston, Tasmania",Australia
"Lismore, NSW, Australia",Australia
Lismore-NSW-Australia,Australia
Lithgow,Australia
Lithgow Australia,Australia
"Lithgow, NSW, Australia",Australia
"Lithgow,nsw",Australia
"Liverpool, Australia",Australia
Logan City,Australia
"Logan city, Queensland",Australia
MELBOURNE,Australia
MELBOURNE!!!!!!...... AUSTRALIA!!!,Australia
"MELBOURNE, AUSTRALIA",Australia
"MELBOURNE,AUSTRALIA",Australia
"Macgregor, Brisbane",Australia
"Mackay, Australia",Australia
"Mackay, Queensland",Australia
"Mackay, Queensland, Australia",Australia
Maitland nsw,Australia
"Maitland, Australia",Australia
"Mandurah, Western Australia",Australia
Marton City,Australia
"Maryborough, Australia",Australia
"Mebourne, Australia",Australia
Melborne,Australia
Melboune,Australia
"Melboure, Australia",Australia
Melbourn,Australia
Melbourne,Australia
"Melbourne , Australia",Australia
Melbourne 978,Australia
Melbourne =],Australia
Melbourne Australia,Australia
Melbourne Vic Australia,Australia
Melbourne Victoria,Australia
Melbourne or Jupiter,Australia
"Melbourne, AUS",Australia
"Melbourne, Aus",Australia
"Melbourne, Austalia",Australia
"Melbourne, Austraila",Australia
"Melbourne, Austrailia",Australia
"Melbourne, Australia",Australia
"Melbourne, Australia #4849",Australia
"Melbourne, Australia, The place to be.",Australia
"Melbourne, Australia.",Australia
"Melbourne, Kangaroo-land",Australia
"Melbourne, Straya",Australia
"Melbourne, VIC",Australia
"Melbourne, VIC, Australia",Australia
"Melbourne, Victoria",Australia
"Melbourne, Victoria, Australia",Australia
"Melbourne, Victoria, Australia, Planet Earth",Australia
"Melbourne, Victoria, Australia.",Australia
"Melbourne, Victoria.",Australia
"Melbourne, australia",Australia
"Melbourne,Australia",Australia
"Melbourne,VIC",Australia
"Melbourne,Victoria",Australia
Melbourne-ish,Australia
Melbourne.,Australia
Melbourne. Australia,Australia
Melbourne. Victoria,Australia
Melburne Australia,Australia
Mildura,Australia
"Moetown , Australia",Australia
Moranbah queensland,Australia
"Morayfield, Queensland",Australia
"Moree, NSW",Australia
"Morwell, Victoria, Australia",Australia
"Mount Barker, South Australia",Australia
Mount Gambier,Australia
"Mount Gambier, South Australia",Australia
Mount Isa,Australia
"Mt. Eliza, Victoria",Australia
"Mudgee, New South Wales",Australia
"Murray Bridge, SA, Australia",Australia
"My House, Australia",Australia
"N.S.W., Australia",Australia
N.T Australia,Australia
NSW,Australia
NSW Australia,Australia
NSW Sydney,Australia
"NSW, Australia",Australia
"NSW, Sydney",Australia
"NSW,Australia",Australia
"NSW,Sydney",Australia
"Narre Warren, Melbourne",Australia
"Near Perth, WA, Australia",Australia
Nederlands,Australia
Neo-Australia,Australia
New Brunswick,Australia
New South Wales,Australia
"New South Wales, Australia",Australia
"New South Whales, Australia",Australia
"New Sydney, New Australia",Australia
"Newcasle, Australia",Australia
"Newcaslte, Australia",Australia
Newcastle australia,Australia
"Newcastle, Australia",Australia
"Newcastle, NSW",Australia
"Newcastle, NSW, Australia",Australia
North West Tasmania,Australia
"Nowhere Land, Nowhere",Australia
"Nsw, Australia 235",Australia
"Ormiston, Australia",Australia
"P Sherman, 42 Wallaby Way, Sydney",Australia
Pacific Pines,Australia
"Pakenham, Melbourne",Australia
"Parkes, New South Wales",Australia
"Parramatta, Australia",Australia
"Parramatta,NSW",Australia
Penrith N.S.W,Australia
"Penrith,NSW",Australia
"Pert, Western Australia",Australia
Perth,Australia
Perth Australia,Australia
Perth WA,Australia
Perth WA Australia,Australia
Perth West Australia,Australia
Perth Western Australia,Australia
Perth australia,Australia
"Perth, AUS",Australia
"Perth, Australia",Australia
"Perth, Australia, ZE WORLD",Australia
"Perth, Australia.",Australia
"Perth, Straya",Australia
"Perth, WA",Australia
"Perth, WA, Australia",Australia
"Perth, West Australia",Australia
"Perth, Western Australia",Australia
"Perth, Western Australia, Australia",Australia
"Perth, western australia",Australia
"Perth,Australia",Australia
"Perth,WA",Australia
"Perth,Western Australia",Australia
Perth.Western Australia,Australia
Pewter City,Australia
"Port Lincoln, Australia",Australia
Port Macquarie,Australia
QLD,Australia
"QLD, Austraila",Australia
"QLD, Australia",Australia
"QLD, Gold Coast",Australia
"Queanbeyan, Australia",Australia
Queensland,Australia
"Queensland, Austalia",Australia
"Queensland, Australia",Australia
"Queensland, Brisbane",Australia
"Queensland, Sunshine Coast",Australia
"Queensland,Australia",Australia
"Raccoon City, Australia",Australia
Raftel (aka Australia),Australia
Redcliffe,Australia
"Richmond, Melbourne. Fight me",Australia
"Rockingham, Western Australia",Australia
"SA, Australia",Australia
SE QLD Australia,Australia
STRAYA,Australia
STRAYA~,Australia
SYD AUS,Australia
"SYdney, Australia",Australia
"Sarina, Queensland, Australia",Australia
Sdyney,Australia
"Seaford, Adelaide, Australia",Australia
"Seaford, Victoria",Australia
"Shell Cove, NSW, Australia",Australia
"Silverwater, New South Wales",Australia
"Singleton, Australia",Australia
Somewhere In Australia,Australia
Somewhere down south in Australia,Australia
Somewhere in Australia,Australia
Somewhere in the Sky. Melbourne,Australia
"Somewhere, Australia",Australia
"Somewhere, Melbourne",Australia
Somewhere... in Australia,Australia
South Australia,Australia
South of Nowhere,Australia
Space Australia,Australia
"St Marys, Sydney, Australia",Australia
"Stockport, South Australia",Australia
"Strathpine, Queensland, Australia",Australia
Straya,Australia
Straya',Australia
Straya.,Australia
Strayaaaaaaaaaaa,Australia
Styx (River),Australia
