country,country_aff
Niger,Niger
Nigeria,Nigeria
North Korea,North Korea
Northern Cyprus,Northern Cyprus
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Republic of Congo,Republic of Congo
Republic of Serbia,Republic of Serbia
Romania,Romania
Russia,Russia
Rwanda,Rwanda
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
Somaliland,Somaliland
South Africa,South Africa
South Korea,South Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
Thailand,Thailand
The Bahamas,The Bahamas
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
Bermuda,United Kingdom
British Indian Ocean Territory,United Kingdom
Anguilla,United Kingdom
Guernsey,United Kingdom
United Kingdom,United Kingdom
Turks and Caicos Islands,United Kingdom
Isle of Man,United Kingdom
Pitcairn Islands,United Kingdom
Cayman Islands,United Kingdom
South Georgia and South Sandwich Islands,United Kingdom
Jersey,United Kingdom
British Virgin Islands,United Kingdom
Falkland Islands,United Kingdom
Saint Helena,United Kingdom
Montserrat,United Kingdom
United Republic of Tanzania,United Republic of Tanzania
United States of America,United States of America
Northern Mariana Islands,United States of America
American Samoa,United States of America
Guam,United States of America
Puerto Rico,United States of America
United States Virgin Islands,United States of America
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican,Vatican
Venezuela,Venezuela
Vietnam,Vietnam
Western Sahara,Western Sahara
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
