country,country_aff,birth_year,num_users
Brazil,Brazil,1993,496
Brazil,Brazil,1994,600
Brazil,Brazil,1995,647
Brazil,Brazil,1996,618
Brazil,Brazil,1997,577
Brazil,Brazil,1998,481
Brazil,Brazil,1999,403
Brazil,Brazil,2000,318
Brazil,Brazil,2001,193
Brazil,Brazil,2002,141
Brazil,Brazil,2003,73
Brazil,Brazil,2004,29
Brazil,Brazil,2005,13
Brazil,Brazil,2006,4
British Virgin Islands,United Kingdom,1988,1
British Virgin Islands,United Kingdom,1994,1
Brunei Darussalam,Brunei Darussalam,1981,1
Brunei Darussalam,Brunei Darussalam,1988,4
Brunei Darussalam,Brunei Darussalam,1989,1
Brunei Darussalam,Brunei Darussalam,1990,2
Brunei Darussalam,Brunei Darussalam,1991,4
Brunei Darussalam,Brunei Darussalam,1992,2
Brunei Darussalam,Brunei Darussalam,1993,2
Brunei Darussalam,Brunei Darussalam,1994,4
Brunei Darussalam,Brunei Darussalam,1995,10
Brunei Darussalam,Brunei Darussalam,1996,4
Brunei Darussalam,Brunei Darussalam,1997,3
Brunei Darussalam,Brunei Darussalam,2001,1
Bulgaria,Bulgaria,1981,1
Bulgaria,Bulgaria,1982,2
Bulgaria,Bulgaria,1984,4
Bulgaria,Bulgaria,1985,2
Bulgaria,Bulgaria,1986,12
Bulgaria,Bulgaria,1987,13
Bulgaria,Bulgaria,1988,36
Bulgaria,Bulgaria,1989,41
Bulgaria,Bulgaria,1990,59
Bulgaria,Bulgaria,1991,63
Bulgaria,Bulgaria,1992,79
Bulgaria,Bulgaria,1993,75
Bulgaria,Bulgaria,1994,78
Bulgaria,Bulgaria,1995,88
Bulgaria,Bulgaria,1996,64
Bulgaria,Bulgaria,1997,55
Bulgaria,Bulgaria,1998,31
Bulgaria,Bulgaria,1999,33
Bulgaria,Bulgaria,2000,13
Bulgaria,Bulgaria,2001,17
Bulgaria,Bulgaria,2002,4
Bulgaria,Bulgaria,2003,9
Bulgaria,Bulgaria,2004,3
Bulgaria,Bulgaria,2005,1
Burkina Faso,Burkina Faso,1992,1
Cabo Verde,Cabo Verde,1991,1
Cabo Verde,Cabo Verde,1992,1
Cambodia,Cambodia,1987,2
Cambodia,Cambodia,1988,1
Cambodia,Cambodia,1993,2
Cambodia,Cambodia,1997,1
Cambodia,Cambodia,1998,1
Cameroon,Cameroon,1996,1
Canada,Canada,1969,3
Canada,Canada,1971,2
Canada,Canada,1972,4
Canada,Canada,1973,2
Canada,Canada,1974,3
Canada,Canada,1975,9
Canada,Canada,1976,5
Canada,Canada,1977,7
Canada,Canada,1978,5
Canada,Canada,1979,10
Canada,Canada,1980,22
Canada,Canada,1981,18
Canada,Canada,1982,22
Canada,Canada,1983,31
Canada,Canada,1984,53
Canada,Canada,1985,83
Canada,Canada,1986,104
Canada,Canada,1987,127
Canada,Canada,1988,165
Canada,Canada,1989,236
Canada,Canada,1990,353
Canada,Canada,1991,419
Canada,Canada,1992,431
Canada,Canada,1993,428
Canada,Canada,1994,441
Canada,Canada,1995,423
Canada,Canada,1996,378
Canada,Canada,1997,301
Canada,Canada,1998,222
Canada,Canada,1999,145
Canada,Canada,2000,89
Canada,Canada,2001,46
Canada,Canada,2002,27
Canada,Canada,2003,11
Canada,Canada,2004,7
Canada,Canada,2006,1
Canarias,Spain,1981,1
Canarias,Spain,1986,4
Canarias,Spain,1987,2
Canarias,Spain,1988,1
Canarias,Spain,1989,2
Canarias,Spain,1990,1
Canarias,Spain,1991,1
Canarias,Spain,1992,3
Canarias,Spain,1993,4
Canarias,Spain,1994,2
Canarias,Spain,1995,1
Canarias,Spain,1996,3
Canarias,Spain,1997,2
Canarias,Spain,1998,3
Canarias,Spain,1999,2
Canarias,Spain,2000,2
Canarias,Spain,2001,2
Cayman Islands,United Kingdom,1992,1
Cayman Islands,United Kingdom,1997,1
Cayman Islands,United Kingdom,2000,1
Chad,Chad,1989,1
Chile,Chile,1972,1
Chile,Chile,1978,2
Chile,Chile,1979,1
Chile,Chile,1981,4
Chile,Chile,1982,6
Chile,Chile,1983,4
Chile,Chile,1984,6
Chile,Chile,1985,6
Chile,Chile,1986,10
Chile,Chile,1987,22
Chile,Chile,1988,20
Chile,Chile,1989,38
Chile,Chile,1990,35
Chile,Chile,1991,39
Chile,Chile,1992,45
Chile,Chile,1993,33
Chile,Chile,1994,43
Chile,Chile,1995,40
Chile,Chile,1996,30
Chile,Chile,1997,39
Chile,Chile,1998,22
Chile,Chile,1999,21
Chile,Chile,2000,18
Chile,Chile,2001,7
Chile,Chile,2002,2
Chile,Chile,2003,1
Chile,Chile,2007,1
China,China,1972,1
China,China,1983,1
China,China,1984,1
China,China,1985,5
China,China,1986,2
China,China,1987,5
China,China,1988,12
China,China,1989,10
China,China,1990,18
China,China,1991,8
China,China,1992,18
China,China,1993,16
China,China,1994,14
China,China,1995,15
China,China,1996,14
China,China,1997,16
China,China,1998,7
China,China,1999,8
China,China,2000,8
China,China,2001,7
China,China,2002,4
China,China,2003,2
Colombia,Colombia,1974,1
Colombia,Colombia,1976,1
Colombia,Colombia,1979,2
Colombia,Colombia,1980,2
Colombia,Colombia,1981,1
Colombia,Colombia,1982,2
Colombia,Colombia,1983,1
Colombia,Colombia,1984,7
Colombia,Colombia,1985,3
Colombia,Colombia,1986,14
Colombia,Colombia,1987,7
Colombia,Colombia,1988,19
Colombia,Colombia,1989,16
Colombia,Colombia,1990,23
Colombia,Colombia,1991,16
Colombia,Colombia,1992,27
Colombia,Colombia,1993,20
Colombia,Colombia,1994,20
Colombia,Colombia,1995,21
Colombia,Colombia,1996,20
Colombia,Colombia,1997,9
Colombia,Colombia,1998,9
Colombia,Colombia,1999,10
Colombia,Colombia,2000,9
Colombia,Colombia,2001,7
Colombia,Colombia,2002,6
Colombia,Colombia,2003,2
Comoros,Comoros,1999,1
Congo,Congo,1986,1
Congo DRC,Congo DRC,1990,2
Congo DRC,Congo DRC,1994,1
Congo DRC,Congo DRC,1997,1
Costa Rica,Costa Rica,1971,1
Costa Rica,Costa Rica,1978,2
Costa Rica,Costa Rica,1981,2
Costa Rica,Costa Rica,1982,1
Costa Rica,Costa Rica,1983,1
Costa Rica,Costa Rica,1985,3
Costa Rica,Costa Rica,1986,2
Costa Rica,Costa Rica,1987,8
Costa Rica,Costa Rica,1988,5
Costa Rica,Costa Rica,1989,9
Costa Rica,Costa Rica,1990,4
Costa Rica,Costa Rica,1991,5
Costa Rica,Costa Rica,1992,8
Costa Rica,Costa Rica,1993,4
Costa Rica,Costa Rica,1994,6
Costa Rica,Costa Rica,1995,7
Costa Rica,Costa Rica,1996,9
Costa Rica,Costa Rica,1997,12
Costa Rica,Costa Rica,1998,9
Costa Rica,Costa Rica,1999,6
Costa Rica,Costa Rica,2000,4
Costa Rica,Costa Rica,2001,3
Costa Rica,Costa Rica,2002,1
Costa Rica,Costa Rica,2003,1
Croatia,Croatia,1977,1
Croatia,Croatia,1979,1
Croatia,Croatia,1981,1
Croatia,Croatia,1982,2
Croatia,Croatia,1983,2
Croatia,Croatia,1984,2
Croatia,Croatia,1985,6
Croatia,Croatia,1986,10
Croatia,Croatia,1987,17
Croatia,Croatia,1988,24
Croatia,Croatia,1989,32
Croatia,Croatia,1990,35
Croatia,Croatia,1991,51
Croatia,Croatia,1992,41
Croatia,Croatia,1993,40
Croatia,Croatia,1994,31
Croatia,Croatia,1995,37
Croatia,Croatia,1996,35
Croatia,Croatia,1997,29
Croatia,Croatia,1998,31
Croatia,Croatia,1999,22
Croatia,Croatia,2000,10
Croatia,Croatia,2001,6
Croatia,Croatia,2002,2
Croatia,Croatia,2003,1
Cuba,Cuba,1991,1
Cuba,Cuba,1994,1
Cuba,Cuba,2000,1
Curacao,Netherlands,1993,1
Curacao,Netherlands,1997,1
Cyprus,Cyprus,1975,1
Cyprus,Cyprus,1983,1
Cyprus,Cyprus,1987,2
Cyprus,Cyprus,1988,1
Cyprus,Cyprus,1989,2
Cyprus,Cyprus,1990,2
Cyprus,Cyprus,1991,6
Cyprus,Cyprus,1992,1
Cyprus,Cyprus,1993,3
Cyprus,Cyprus,1994,3
Cyprus,Cyprus,1995,2
Cyprus,Cyprus,1996,2
Cyprus,Cyprus,1997,1
Cyprus,Cyprus,1998,3
Czech Republic,Czech Republic,1976,1
Czech Republic,Czech Republic,1979,1
Czech Republic,Czech Republic,1980,1
Czech Republic,Czech Republic,1981,3
Czech Republic,Czech Republic,1982,3
Czech Republic,Czech Republic,1983,2
Czech Republic,Czech Republic,1984,3
Czech Republic,Czech Republic,1985,10
Czech Republic,Czech Republic,1986,11
Czech Republic,Czech Republic,1987,12
Czech Republic,Czech Republic,1988,19
Czech Republic,Czech Republic,1989,20
Czech Republic,Czech Republic,1990,16
Czech Republic,Czech Republic,1991,26
Czech Republic,Czech Republic,1992,28
Czech Republic,Czech Republic,1993,39
Czech Republic,Czech Republic,1994,36
Czech Republic,Czech Republic,1995,36
Czech Republic,Czech Republic,1996,27
Czech Republic,Czech Republic,1997,37
Czech Republic,Czech Republic,1998,22
Czech Republic,Czech Republic,1999,25
Czech Republic,Czech Republic,2000,16
Czech Republic,Czech Republic,2001,14
Czech Republic,Czech Republic,2002,4
Czech Republic,Czech Republic,2003,3
Côte d'Ivoire,Côte d'Ivoire,1998,1
Denmark,Denmark,1972,1
Denmark,Denmark,1980,2
Denmark,Denmark,1981,2
Denmark,Denmark,1982,4
Denmark,Denmark,1983,3
Denmark,Denmark,1984,7
Denmark,Denmark,1985,6
Denmark,Denmark,1986,16
Denmark,Denmark,1987,18
Denmark,Denmark,1988,22
Denmark,Denmark,1989,31
Denmark,Denmark,1990,46
Denmark,Denmark,1991,56
Denmark,Denmark,1992,63
Denmark,Denmark,1993,41
Denmark,Denmark,1994,57
Denmark,Denmark,1995,51
Denmark,Denmark,1996,55
Denmark,Denmark,1997,49
Denmark,Denmark,1998,30
Denmark,Denmark,1999,24
Denmark,Denmark,2000,17
Denmark,Denmark,2001,10
Denmark,Denmark,2002,5
Djibouti,Djibouti,1992,1
Djibouti,Djibouti,1995,1
Djibouti,Djibouti,2003,1
Dominica,Dominica,1995,1
Dominica,Dominica,1996,1
Dominica,Dominica,2003,1
Dominican Republic,Dominican Republic,1980,3
Dominican Republic,Dominican Republic,1981,1
Dominican Republic,Dominican Republic,1984,2
Dominican Republic,Dominican Republic,1985,2
Dominican Republic,Dominican Republic,1986,3
Dominican Republic,Dominican Republic,1987,1
Dominican Republic,Dominican Republic,1988,2
Dominican Republic,Dominican Republic,1989,6
Dominican Republic,Dominican Republic,1990,3
Dominican Republic,Dominican Republic,1991,7
Dominican Republic,Dominican Republic,1992,6
Dominican Republic,Dominican Republic,1993,4
Dominican Republic,Dominican Republic,1994,4
Dominican Republic,Dominican Republic,1995,3
Dominican Republic,Dominican Republic,1996,2
Dominican Republic,Dominican Republic,1997,2
Dominican Republic,Dominican Republic,1998,4
Dominican Republic,Dominican Republic,1999,1
Dominican Republic,Dominican Republic,2000,1
Dominican Republic,Dominican Republic,2001,2
Ecuador,Ecuador,1984,1
Ecuador,Ecuador,1988,3
Ecuador,Ecuador,1990,3
Ecuador,Ecuador,1991,6
Ecuador,Ecuador,1992,4
Ecuador,Ecuador,1993,2
Ecuador,Ecuador,1994,2
Ecuador,Ecuador,1995,7
Ecuador,Ecuador,1996,2
Ecuador,Ecuador,1997,4
Ecuador,Ecuador,1998,4
Ecuador,Ecuador,1999,2
Ecuador,Ecuador,2002,2
Ecuador,Ecuador,2003,1
Ecuador,Ecuador,2005,1
Egypt,Egypt,1978,1
Egypt,Egypt,1982,1
Egypt,Egypt,1983,1
Egypt,Egypt,1984,1
Egypt,Egypt,1985,7
Egypt,Egypt,1986,3
Egypt,Egypt,1987,3
Egypt,Egypt,1988,2
Egypt,Egypt,1989,10
Egypt,Egypt,1990,21
Egypt,Egypt,1991,11
Egypt,Egypt,1992,20
Egypt,Egypt,1993,16
Egypt,Egypt,1994,29
Egypt,Egypt,1995,32
Egypt,Egypt,1996,27
Egypt,Egypt,1997,26
Egypt,Egypt,1998,15
Egypt,Egypt,1999,9
Egypt,Egypt,2000,11
Egypt,Egypt,2001,3
Egypt,Egypt,2002,1
Egypt,Egypt,2003,1
El Salvador,El Salvador,1976,1
El Salvador,El Salvador,1983,1
El Salvador,El Salvador,1985,1
El Salvador,El Salvador,1986,2
El Salvador,El Salvador,1987,2
El Salvador,El Salvador,1988,1
El Salvador,El Salvador,1989,1
El Salvador,El Salvador,1990,1
El Salvador,El Salvador,1991,1
El Salvador,El Salvador,1993,1
El Salvador,El Salvador,1994,4
El Salvador,El Salvador,1995,4
El Salvador,El Salvador,1996,4
El Salvador,El Salvador,1997,1
El Salvador,El Salvador,1998,3
El Salvador,El Salvador,1999,1
Estonia,Estonia,1980,1
Estonia,Estonia,1982,1
Estonia,Estonia,1983,2
Estonia,Estonia,1984,2
Estonia,Estonia,1985,2
Estonia,Estonia,1986,6
Estonia,Estonia,1987,12
Estonia,Estonia,1988,13
Estonia,Estonia,1989,8
Estonia,Estonia,1990,15
Estonia,Estonia,1991,28
Estonia,Estonia,1992,27
Estonia,Estonia,1993,28
Estonia,Estonia,1994,30
Estonia,Estonia,1995,23
Estonia,Estonia,1996,31
Estonia,Estonia,1997,17
Estonia,Estonia,1998,16
Estonia,Estonia,1999,8
Estonia,Estonia,2000,4
Estonia,Estonia,2001,5
Estonia,Estonia,2004,1
Eswatini,Eswatini,1993,1
Faroe Islands,Denmark,1984,1
Faroe Islands,Denmark,1992,1
Faroe Islands,Denmark,1994,1
Faroe Islands,Denmark,1995,2
Faroe Islands,Denmark,1996,1
Faroe Islands,Denmark,1997,1
Faroe Islands,Denmark,1998,1
Fiji,Fiji,1996,1
Fiji,Fiji,1997,1
Fiji,Fiji,1998,2
Fiji,Fiji,2000,1
Finland,Finland,1969,1
Finland,Finland,1979,2
Finland,Finland,1980,1
Finland,Finland,1981,4
Finland,Finland,1982,3
Finland,Finland,1983,9
Finland,Finland,1984,14
Finland,Finland,1985,19
Finland,Finland,1986,24
Finland,Finland,1987,23
Finland,Finland,1988,58
Finland,Finland,1989,83
Finland,Finland,1990,105
Finland,Finland,1991,130
Finland,Finland,1992,117
Finland,Finland,1993,111
Finland,Finland,1994,92
Finland,Finland,1995,81
Finland,Finland,1996,59
Finland,Finland,1997,57
Finland,Finland,1998,44
Finland,Finland,1999,27
Finland,Finland,2000,17
Finland,Finland,2001,13
Finland,Finland,2002,6
Finland,Finland,2003,1
Finland,Finland,2007,1
France,France,1973,1
France,France,1974,2
France,France,1975,1
France,France,1976,5
France,France,1977,4
France,France,1978,4
France,France,1979,12
France,France,1980,17
France,France,1981,20
France,France,1982,24
France,France,1983,32
France,France,1984,42
France,France,1985,55
France,France,1986,67
France,France,1987,70
France,France,1988,86
France,France,1989,100
France,France,1990,139
France,France,1991,158
France,France,1992,157
France,France,1993,165
France,France,1994,174
France,France,1995,174
France,France,1996,177
France,France,1997,150
France,France,1998,125
France,France,1999,96
France,France,2000,55
France,France,2001,39
France,France,2002,18
France,France,2003,10
France,France,2004,1
France,France,2005,1
France,France,2006,2
French Guiana,France,1996,1
French Polynesia,France,1992,1
French Polynesia,France,1994,1
French Polynesia,France,1995,1
French Polynesia,France,1996,1
Gabon,Gabon,1996,1
Georgia,Georgia,1981,1
Georgia,Georgia,1984,2
Georgia,Georgia,1987,2
Georgia,Georgia,1988,3
Georgia,Georgia,1989,6
Georgia,Georgia,1990,13
Georgia,Georgia,1991,10
Georgia,Georgia,1992,12
Georgia,Georgia,1993,16
Georgia,Georgia,1994,8
Georgia,Georgia,1995,9
Georgia,Georgia,1996,7
Georgia,Georgia,1997,8
Georgia,Georgia,1998,4
Georgia,Georgia,1999,4
Georgia,Georgia,2000,1
Georgia,Georgia,2001,1
Georgia,Georgia,2003,1
Germany,Germany,1969,3
Germany,Germany,1970,3
Germany,Germany,1972,1
Germany,Germany,1973,1
Germany,Germany,1974,2
Germany,Germany,1975,2
Germany,Germany,1976,3
Germany,Germany,1977,2
Germany,Germany,1978,3
Germany,Germany,1979,5
Germany,Germany,1980,11
Germany,Germany,1981,11
Germany,Germany,1982,18
Germany,Germany,1983,27
Germany,Germany,1984,43
Germany,Germany,1985,59
Germany,Germany,1986,90
Germany,Germany,1987,118
Germany,Germany,1988,164
Germany,Germany,1989,183
Germany,Germany,1990,246
Germany,Germany,1991,239
Germany,Germany,1992,276
Germany,Germany,1993,262
Germany,Germany,1994,215
Germany,Germany,1995,174
Germany,Germany,1996,176
Germany,Germany,1997,138
Germany,Germany,1998,126
Germany,Germany,1999,85
Germany,Germany,2000,71
Germany,Germany,2001,37
Germany,Germany,2002,12
Germany,Germany,2003,8
Germany,Germany,2004,2
Germany,Germany,2006,1
Germany,Germany,2007,1
Ghana,Ghana,1988,1
